product_name	volume_ml	weight
The Ordinary Natural Moisturising Factors + HA 30ml	30	31.5
CeraVe Facial Moisturising Lotion SPF 25 52ml	52	54.6
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml	30	31.5
AMELIORATE Transforming Body Lotion 200ml	200	210.0
CeraVe Moisturising Cream 454g	454	476.7
CeraVe Moisturising Lotion 473ml	473	496.65
CeraVe Facial Moisturising Lotion No SPF 52ml	52	54.6
The Ordinary Natural Moisturizing Factors + HA 100ml	100	105.0
CeraVe Smoothing Cream 177ml	177	185.85
Clinique Moisture Surge 72 Hour Moisturiser 75ml	75	78.75
CeraVe Moisturising Cream 50ml	50	52.5
CeraVe Moisturising Cream 340g	340	357.0
First Aid Beauty Ultra Repair Cream (56.7g)	7	7.35
Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml)	40	42.0
Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump	125	131.25
First Aid Beauty Ultra Repair Cream (170g)	170	178.5
Weleda Skin Food (75ml)	75	78.75
Neutrogena Hydro Boost City Shield SPF Moisturiser	54	56.7
Egyptian Magic All Purpose Skin Cream 118ml/4oz	118	123.9
JASON Aloe Vera 98% Moisturising Gel Tube 113g	113	118.65
CeraVe Moisturising Cream 177ml	177	185.85
Embryolisse Lait-Crème Concentré (75ml)	75	78.75
La Roche-Posay Effaclar H Moisturiser 40ml	40	42.0
Bulldog Original Moisturiser 100ml	100	105.0
Clinique Dramatically Different Moisturising Gel 125ml with Pump	125	131.25
La Roche-Posay Effaclar Duo+ SPF30 40ml	40	42.0
Avene Very High Protection B-Protect SPF 50+ 30ml	30	31.5
Avène Tolérance Extrême Emulsion 50ml	50	52.5
Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml	50	52.5
Embryolisse Lait-Crème Concentré (30ml)	30	31.5
The Chemistry Brand Intense Youth Complex Hand Cream 100ml	100	105.0
Avène Tolérance Extrême Cream 50ml	50	52.5
La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml	40	42.0
First Aid Beauty Hello FAB Coconut Water Cream	168	176.4
Elemis Pro-Collagen Marine Cream SPF30 50ml	50	52.5
Avène Aqua Gel 50ml	50	52.5
La Roche-Posay Effaclar K(+) Anti-Blackhead Moisturiser 40ml	40	42.0
The INKEY List Snow Mushroom	192	201.6
Weleda Skin Food (30ml)	30	31.5
Egyptian Magic All Purpose Skin Cream 59ml/2oz	59	61.95
La Roche-Posay Nutritic Intense Rich 50ml	50	52.5
Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml	50	52.5
Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml	30	31.5
Elizabeth Arden Eight Hour Great 8 Daily Defense Moisturizer 45ml	45	47.25
Skin Doctors Sd White & Bright (50ml)	50	52.5
Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml	50	52.5
Elizabeth Arden Eight Hour Cream Skin Protectant (50ml)	50	52.5
PRAI AGELESS Throat & Decolletage Crème 50ml	50	52.5
La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml	40	42.0
La Roche-Posay Effaclar MAT+ 40ml	40	42.0
Mama Mio The Tummy Rub Butter 120ml - Fragrance Free	120	126.0
Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml	50	52.5
Elemis Pro-Collagen Marine Cream 50ml	50	52.5
La Roche-Posay Toleriane Ultra Fluid 40ml	40	42.0
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml	15	15.75
Clinique for Men Moisturising Lotion 100ml	100	105.0
Bulldog Oil Control Moisturiser 100ml	100	105.0
Bulldog Age Defence Moisturiser 100ml	100	105.0
The INKEY List Multi-Biotic Moisturiser 30ml	30	31.5
Caudalie Vinosource Moisturising Sorbet 40ml	40	42.0
Neutrogena Refreshingly Clear Oil-Free Moisturiser 50ml	50	52.5
The INKEY List Turmeric Moisturiser 30ml	30	31.5
The Ordinary Vitamin C Suspension Cream 30% in Silicone 30ml	30	31.5
La Roche-Posay Toleriane Sensitive Moisturiser 40ml	40	42.0
Avene Hydrance Hydrating Cream 40ml	40	42.0
Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml	50	52.5
L'Oréal Men Expert Pure & Matte Anti-Shine Moisturising Gel (50ml)	50	52.5
Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml	30	31.5
The Chemistry Brand Heel Hydration Complex 100ml	100	105.0
Elizabeth Arden Visible Difference Refining Moisture Cream (75ml)	75	78.75
Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml	60	63.0
